Distance_(pixels),Gray_Value
1074,58.667
1075,58.333
1076,63.000
1077,71.667
1078,57.333
1079,30.333
1080,23.000
1081,26.333
1082,24.000
1083,24.000
1084,23.333
1085,25.333
1086,33.333
1087,49.333
1088,67.000
1089,80.000
1090,70.000
1091,44.667
1092,22.667
1093,18.333
1094,14.000
1095,8.667
1096,16.667
1097,33.000
1098,27.000
1099,27.333
1100,44.333
1101,62.333
1102,71.667
1103,70.000
1104,56.000
1105,45.333
1106,39.333
1107,34.333
1108,29.667
1109,23.667
1110,20.000
1111,21.000
1112,26.000
1113,30.667
1114,44.333
1115,61.333
1116,73.000
1117,75.333
1118,66.667
1119,49.000
1120,35.667
1121,27.000
1122,21.333
1123,22.000
1124,23.667
1125,25.000
1126,31.000
1127,38.000
1128,42.667
1129,48.333
1130,63.000
1131,78.000
1132,61.000
1133,24.333
1134,13.333
1135,12.333
1136,12.000
1137,12.000
1138,13.000
1139,12.667
1140,14.333
1141,19.000
1142,45.667
1143,71.000
1144,74.333
1145,69.333
1146,60.667
1147,45.333
1148,24.000
1149,14.000
1150,20.000
1151,37.000
1152,47.000
1153,41.000
1154,37.000
1155,50.333
1156,63.333
1157,79.333
1158,84.333
1159,63.333
1160,33.333
1161,20.333
1162,25.333
1163,28.000
1164,25.000
1165,23.333
1166,21.333
1167,24.333
1168,40.000
1169,64.333
1170,81.000
1171,81.333
1172,75.333
1173,58.667
1174,39.333
1175,29.000
1176,25.000
1177,23.333
1178,26.333
1179,28.333
1180,23.667
1181,23.667
1182,34.333
1183,62.667
1184,79.000
1185,82.000
1186,78.000
1187,49.000
1188,28.000
1189,23.000
1190,29.000
1191,29.000
1192,24.000
1193,23.000
1194,21.667
1195,30.667
1196,52.000
1197,73.000
1198,79.000
1199,72.333
1200,59.333
1201,41.000
1202,25.333
1203,20.333
1204,23.333
1205,28.333
1206,31.333
1207,27.333
1208,22.333
1209,37.667
1210,69.000
1211,80.000
1212,80.333
1213,76.000
1214,65.333
1215,45.667
1216,29.000
1217,24.667
1218,27.000
1219,27.000
1220,20.333
1221,18.000
1222,34.333
1223,61.333
1224,78.000
1225,82.000
1226,77.667
1227,68.000
1228,44.667
1229,23.000
1230,22.333
1231,25.667
1232,24.667
1233,23.667
1234,20.333
1235,20.333
1236,33.333
1237,55.333
1238,81.000
1239,91.667
1240,83.000
1241,66.000
1242,46.000
1243,23.333
1244,18.333
1245,29.000
1246,32.333
1247,31.333
1248,31.333
1249,38.333
1250,57.000
1251,77.000
1252,95.000
1253,102.000
1254,76.000
1255,36.000
1256,21.333
1257,21.333
1258,23.000
1259,27.000
1260,29.000
1261,25.000
1262,25.000
1263,39.667
1264,65.333
1265,88.000
1266,96.000
1267,93.000
1268,67.000
1269,39.000
1270,26.333
1271,25.333
1272,28.667
1273,32.000
1274,28.667
1275,24.333
1276,25.000
1277,44.667
1278,76.333
1279,93.333
1280,94.333
1281,86.000
1282,63.000
1283,36.333
1284,25.000
1285,22.667
1286,24.667
1287,29.000
1288,30.000
1289,27.000
1290,26.667
1291,40.000
1292,69.667
1293,95.667
1294,98.667
1295,81.000
1296,48.000
1297,26.000
1298,25.667
1299,30.333
1300,25.333
1301,26.000
1302,18.000
1303,16.333
1304,26.667
1305,63.667
1306,91.000
1307,100.333
1308,93.000
1309,78.000
1310,49.333
1311,24.667
1312,21.667
1313,29.667
1314,31.000
1315,27.000
1316,24.333
1317,21.000
1318,37.000
1319,85.000
1320,101.667
1321,94.333
1322,82.333
1323,53.333
1324,34.000
1325,25.333
1326,30.000
1327,31.667
1328,33.333
1329,29.000
1330,17.000
1331,26.667
1332,59.667
1333,89.333
1334,100.333
1335,99.000
1336,77.000
1337,39.333
1338,26.000
1339,26.000
1340,26.667
1341,21.667
1342,23.000
1343,22.333
1344,20.333
1345,32.333
1346,66.333
1347,96.333
1348,103.000
1349,91.000
1350,64.000
1351,45.000
1352,35.667
1353,28.667
1354,27.000
1355,27.000
1356,25.000
1357,20.000
1358,25.333
1359,60.000
1360,92.000
1361,99.333
1362,95.333
1363,76.667
1364,44.000
1365,28.667
1366,29.333
1367,26.000
1368,25.667
1369,26.667
1370,21.333
1371,19.333
1372,38.667
1373,71.000
1374,95.333
1375,102.333
1376,98.333
1377,75.000
1378,35.333
1379,19.333
1380,22.333
1381,25.333
1382,24.000
1383,16.000
1384,14.000
1385,13.000
1386,12.667
1387,17.667
